molIdx	molSmiles	molregno	validMol	scafSmiles	inDB	scafID	pScore	inDrug	substancesTested	substancesActive	assaysTested	assaysActive	samplesTested	samplesActive
198	COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12	218011	True	O=C1C=CC(=O)N1Nc1ncnc2ccccc12	False									
198	COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12	218011	True	c1csc(-c2ncc3ccccc3n2)c1	True	55271	75.0	False	46	36	661	108	19246	239
198	COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12	218011	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
198	COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12	218011	True	c1ccc2ncncc2c1	True	110	494.0	True	1599	1408	820	622	832663	10950
198	COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12	218011	True	c1ccsc1	True	361	382.0	True	21080	16949	820	769	10914208	98123
199	NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1	218963	True	O=S(=O)(c1ccc(-c2ccnc(Nc3ccccc3)n2)cc1)N1CCNCC1	False									
199	NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1	218963	True	O=S(=O)(c1ccc(-c2ccncn2)cc1)N1CCNCC1	False									
199	NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1	218963	True	c1ccc(Nc2nccc(-c3ccccc3)n2)cc1	True	124720	12.0	False	3	3	491	21	1443	23
199	NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1	218963	True	O=S(=O)(c1ccccc1)N1CCNCC1	True	720	127.0	True	3895	2683	820	565	1749710	8317
199	NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1	218963	True	c1ccc(-c2ccncn2)cc1	True	1161	320.0	True	488	413	820	475	262345	3054
199	NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1	218963	True	c1ccc(Nc2ncccn2)cc1	True	2751	206.0	True	156	149	812	268	82170	976
199	NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1	218963	True	C1CNCCN1	True	144	267.0	True	32722	24536	820	767	15744160	106367
199	NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1	218963	True	c1cncnc1	True	339	333.0	True	6381	5159	820	721	3419030	28391
200	CC(C)CC(C/C=C1\CC(CO)(COC(=O)C(C)(C)C)OC1=O)CC(C)C	226418	True	C=C1CCOC1=O	True	3461	30.0	True	38	24	793	75	13933	139
201	CCCCCCCC/C=C\CCCCCCC/C=C1/C[C@](/C=C2\CCOC2=O)(CO)OC1=O	231382	True	C=C1CC(C=C2CCOC2=O)OC1=O	False									
201	CCCCCCCC/C=C\CCCCCCC/C=C1/C[C@](/C=C2\CCOC2=O)(CO)OC1=O	231382	True	C=C1CCOC1=O	True	3461	30.0	True	38	24	793	75	13933	139
202	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1	228436	True	O=C(C=CC(=O)Nc1cc2c(Nc3ccccc3)ncnc2cn1)NCCCn1ccnc1	False									
202	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1	228436	True	O=C(C=CC(=O)Nc1cc2cncnc2cn1)NCCCn1ccnc1	False									
202	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1	228436	True	c1ccc(Nc2ncnc3cnccc23)cc1	False									
202	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1	228436	True	c1c[nH]cn1	True	26	278.0	True	5114	3964	823	703	2407253	17925
202	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1	228436	True	c1cc2cncnc2cn1	False									
203	O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1	228463	True	O=C(C=CC(=O)Nc1cc2c(Nc3ccccc3)ncnc2cn1)NCCCN1CCOCC1	False									
